_displayCat, _topicid, _docCutoff, _termCutoff, _name, _numterms, _numdocs, 
Multiple, 1, 0.159, 0.091, "season, down, jacket, online, ultra", 20, 22, 
Multiple, 2, 0.164, 0.094, "sie, garantiere, ihres, s profit, der", 45, 4, 
Multiple, 3, 0.158, 0.089, "+invest, good, stock, article, professional", 24, 4, 
Multiple, 4, 0.155, 0.086, "bank, uba, visit, opay bank, gtb bank", 17, 4, 
Multiple, 5, 0.146, 0.088, "shipping, 12/24, pick, +gift, order", 15, 6, 
Multiple, 6, 0.142, 0.083, "+dress, +order, ultrastrech, ll tell, airism", 8, 6, 
Multiple, 7, 0.150, 0.090, "charity, t-shirt, +donate, international, +child", 17, 8, 
Multiple, 8, 0.136, 0.082, "nelson-atkins, art, time, visit, kansas", 7, 4, 
Multiple, 9, 0.159, 0.086, "gift, https://bit.ly/3rh87mn, last-minute, find, uniqlousa", 14, 10, 
Multiple, 10, 0.137, 0.085, "+knee, location, +beg, sawgrass, mills", 15, 12, 
Multiple, 11, 0.129, 0.081, "collected several, +wear, several, collected, +year", 5, 4, 
Multiple, 12, 0.130, 0.077, "best, ecuador, pity, uniqlousa, garantiere", 3, 8, 
Multiple, 13, 0.124, 0.078, "https://aekkaphod.vercel.app/, feeling, love, action, uniqlousa", 4, 4, 
Multiple, 14, 0.150, 0.090, "heattech, +layer, +look, warm, +essential", 19, 14, 
Multiple, 15, 0.122, 0.080, "open, outlet, texas, babe, hell babe", 6, 8, 
Multiple, 16, 0.128, 0.082, "pa, uniqlo store, pittsburgh, +store, uniqlo", 5, 4, 
Multiple, 17, 0.121, 0.092, "marimekko, +sock, +feature, +design, iconic", 23, 12, 
Multiple, 18, 0.116, 0.080, "chiang, danny, https://gtudeal.com/f1/, second, vijay", 6, 12, 
